date,a_share_turnover_yi,chinext_turnover_yi,star_turnover_yi,chinext_share_pct,star_share_pct
2026-03-12,24418.98,5960.8,2264.06,24.4105,9.2717
2026-03-13,24003.17,5764.07,2281.52,24.0138,9.5051
2026-03-16,23253.31,5557.77,2241.85,23.901,9.641
2026-03-17,22078.61,5596.74,2022.06,25.3492,9.1585
2026-03-18,20460.64,5398.75,2027.61,26.3861,9.9098
2026-03-19,21109.69,5417.49,2095.62,25.6635,9.9273
2026-03-20,22868.11,6595.6,2465.88,28.8419,10.7831
2026-03-23,24315.18,6124.16,2451.77,25.1866,10.0833
2026-03-24,20828.41,5154.33,2135.19,24.7466,10.2513
2026-03-25,21798.07,5547.69,2259.98,25.4504,10.3678
2026-03-26,19436.03,4894.7,1887.69,25.1836,9.7123
2026-03-27,18532.62,4607.8,1929.73,24.8632,10.4126
2026-03-30,19158.81,4539.82,1963.69,23.6957,10.2496
2026-03-31,19925.43,4740.17,1986.99,23.7896,9.9721
2026-04-01,20124.51,5105.86,2284.23,25.3713,11.3505
2026-04-02,18429.5,4541.17,1968.66,24.6407,10.6821
2026-04-03,16564.67,4343.46,1814.73,26.2213,10.9554
2026-04-07,16143.58,3944.14,1882.16,24.4316,11.6589
2026-04-08,24344.98,6554.3,2768.62,26.9226,11.3724
2026-04-09,21340.47,5714.78,2328.1,26.7791,10.9093
2026-04-10,23228.39,6478.83,2510.19,27.8919,10.8066
2026-04-13,21503.55,5649.17,2458.09,26.2709,11.4311
2026-04-14,23837.06,6558.53,2825.52,27.514,11.8535
2026-04-15,24152.32,6465.15,2946.69,26.7682,12.2004
2026-04-16,23416.78,6622.53,2666.14,28.2811,11.3856
2026-04-17,24255.73,6842.82,2826.57,28.2111,11.6532
2026-04-20,25787.57,6984.85,2969.07,27.0861,11.5136
2026-04-21,24085.24,6340.26,2823.48,26.3243,11.7229
2026-04-22,25597.85,6909.65,3044.78,26.9931,11.8947
2026-04-23,28044.92,7417.97,3234.66,26.4503,11.5339
2026-04-24,26418.59,7294.81,3431.39,27.6124,12.9886
2026-04-27,25894.51,6742.13,3578.9,26.0369,13.8211
2026-04-28,25363.08,6648.72,3299.5,26.2142,13.0091
2026-04-29,25901.37,6793.97,3159.76,26.2302,12.1992
2026-04-30,27409.11,6380.61,4070.65,23.2791,14.8515
2026-05-06,32268.34,8380.86,5123.21,25.9724,15.8769
2026-05-07,31439.56,8394.15,4214.64,26.6993,13.4055
2026-05-08,30485.42,7823.9,3995.22,25.6644,13.1053
2026-05-11,35388.61,9228.47,5102.97,26.0775,14.4198
2026-05-12,32426.56,8382.93,4575.09,25.8521,14.1091
2026-05-13,32400.14,8606.87,4467.16,26.5643,13.7875
2026-05-14,33622.54,8873.82,4659.48,26.3925,13.8582
2026-05-15,33444.76,8765.11,5103.34,26.2077,15.259
2026-05-18,28939.8,7573.5,4500.33,26.1699,15.5506
2026-05-19,28865.58,7627.21,4595.56,26.4232,15.9205
2026-05-20,29537.14,7563.28,5027.5,25.606,17.0209
2026-05-21,34816.05,8960.07,5804.08,25.7355,16.6707
2026-05-22,29033.2,7873.97,4564.9,27.1206,15.723
2026-05-25,32057.3,8785.1,5539.03,27.4044,17.2785
2026-05-26,32436.92,8372.09,5103.14,25.8104,15.7325
2026-05-27,32385.62,8345.78,5134.76,25.77,15.8551
2026-05-28,29681.51,7682.91,4690.21,25.8845,15.8018
2026-05-29,33190.32,8503.5,4972.2,25.6204,14.9809
2026-06-01,28774.88,7285.31,4234.15,25.3183,14.7148
2026-06-02,27929.92,7140.31,3763.18,25.5651,13.4737
2026-06-03,31302.79,8030.01,4538.25,25.6527,14.4979
2026-06-04,27576.69,6976.07,3864.43,25.297,14.0134
2026-06-05,30691.92,8160.92,4166.54,26.5898,13.5754
2026-06-08,27927.38,7224.02,3829.53,25.8672,13.7125
2026-06-09,26402.96,7202.41,3721.55,27.2788,14.0952
2026-06-10,26192.43,6488.12,3986.5,24.771,15.22
2026-06-11,25520.22,6499.29,3861.47,25.4672,15.131
2026-06-12,32149.5,8057.4,5140.42,25.0623,15.9891
