序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000582,北部湾港,2026-06-04,3家机构卖出，成功率5.84%,13.42,-9.9933,-211371125.28,184095079.93,395466205.21,579561285.14,2327123555,-9.082935232461,24.904620293786,7.6321,28944903152.66,日跌幅偏离值达到7%的前5只证券,,,,
2,000700,模塑科技,2026-06-04,4家机构买入，成功率29.90%,17.8,7.3583,208170783.53,1195586783.27,987415999.74,2183002783.01,7465912758,2.788283097829,29.239596734784,20.4881,16340673924.2,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
3,000725,京东方A,2026-06-04,1家机构买入，成功率41.12%,6.15,10.0179,1473319105.43,3153449373.03,1680130267.6,4833579640.63,19950265964,7.384959719778,24.22814637836,9.1438,226785502467.78,日涨幅偏离值达到7%的前5只证券,,,,
4,000733,振华科技,2026-06-04,1家机构买入，成功率46.82%,59.31,9.9963,421816863.58,732616549.18,310799685.6,1043416234.78,4383450946,9.622940207987,23.803533965223,13.874,32863358495.61,日涨幅偏离值达到7%的前5只证券,,,,
5,000759,中百集团,2026-06-04,3家机构卖出，成功率22.75%,5.18,-9.913,-25469178.0,46976366.28,72445544.28,119421910.56,422019757,-6.035067689971,28.297706109527,12.0442,3396557209.5,日跌幅偏离值达到7%的前5只证券,,,,
6,000802,北京文化,2026-06-04,4家机构卖出，成功率38.87%,4.82,-2.2312,-37191880.01,102521838.99,139713719.0,242235557.99,612157321,-6.075542794987,39.570801439456,16.8725,3448922104.1,日振幅值达到15%的前5只证券,,,,
7,001278,一彬科技,2026-06-04,5家机构卖出，成功率16.67%,18.13,-9.9801,-13545299.08,18311189.5,31856488.58,50167678.08,161518741,-8.386208929155,31.05997345534,10.182,1546686181.88,日跌幅偏离值达到7%的前5只证券,,,,
8,001309,德明利,2026-06-04,2家机构买入，成功率34.75%,680.85,10.0008,103075748.48,1989209625.15,1886133876.67,3875343501.82,12689023776,0.812322132101,30.540911343785,11.6218,112282262005.5,日涨幅偏离值达到7%的前5只证券,,,,
9,001896,豫能控股,2026-06-04,1家机构买入，成功率31.77%,22.09,10.01,-48564344.9200001,609489207.06,658053551.98,1267542759.04,4490332176,-1.081531232357,28.228262617514,13.5113,33704509579.7,日涨幅偏离值达到7%的前5只证券,,,,
10,002055,ST得润,2026-06-04,普通席位卖出，成功率36.65%,6.72,-4.1369,-44920791.0,79807632.34,124728423.34,204536055.68,1009607412,-4.449332529266,20.258969303209,9.5066,3991612914.24,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,,,,
11,002056,横店东磁,2026-06-04,4家机构买入，成功率20.93%,29.42,6.9818,-67912286.4000001,1349851630.28,1417763916.68,2767615546.96,8864282987,-0.766134006547,31.222102803113,8.0771,47808429936.78,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
12,002082,ST万邦,2026-06-04,卖一主卖，成功率42.11%,13.96,-4.9694,-14017315.0,36281843.0,50299158.0,86581001.0,474849670,-2.95194792912,18.233349725188,2.3917,7927153501.12,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,,,,
13,002137,实益达,2026-06-04,1家机构买入，成功率39.45%,10.54,1.3462,-144812816.1,92911247.16,237724063.26,330635310.42,1675838875,-8.641213559388,19.729540551445,39.6979,4178668173.74,日换手率达到20%的前5只证券,,,,
14,002384,东山精密,2026-06-04,4家机构买入，成功率45.28%,237.8,6.1655,1018285538.85,9727980343.9,8709694805.05,18437675148.95,68376640415,1.489230141565,26.96487431533,6.0233,329667305729.4,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
15,002421,达实智能,2026-06-04,3家机构卖出，成功率2.12%,4.74,-2.8689,-181550105.73,289417692.06,470967797.79,760385489.85,2343780916,-7.746035667866,32.442686287749,24.3765,9496007861.64,日换手率达到20%的前5只证券,,,,
16,002484,江海股份,2026-06-04,3家机构买入，成功率23.18%,96.35,10.0011,-581891791.79,2935236043.42,3517127835.21,6452363878.63,14383658848,-4.045506070042,44.858988570402,4.4657,79052502732.75,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
17,002491,通鼎互联,2026-06-04,2家机构买入，成功率47.80%,26.83,10.0041,495081670.28,977021228.79,481939558.51,1458960787.3,5789024620,8.552074015536,25.202186604278,19.2139,31564659808.93,日涨幅偏离值达到7%的前5只证券,,,,
18,002501,*ST利源,2026-06-04,普通席位买入，成功率42.81%,1.66,5.0633,2379704.72,12096806.72,9717102.0,21813908.72,114039812,2.086731535475,19.128327500224,0.1809,5887138881.96,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,,,,
19,002579,中京电子,2026-06-04,3家机构买入，成功率42.29%,20.61,5.964,113822314.82,473114719.78,359292404.96,832407124.74,4756007943,2.393232227199,17.502223182052,41.0021,12024119135.34,日换手率达到20%的前5只证券,,,,
20,002606,大连电瓷,2026-06-04,西藏自治区资金卖出，成功率45.42%,13.98,-6.4883,72696090.14,211215981.71,138519891.57,349735873.28,2807031010,2.589785787226,12.459280714537,13.3061,5887565928.9,连续三个交易日内，跌幅偏离值累计达到20%的证券,,,,
21,002620,*ST瑞和,2026-06-04,2家机构卖出，成功率38.43%,6.31,-4.6828,1530747.07,62867617.25,61336870.18,124204487.43,535994141,0.285590261704,23.172732298579,6.6242,1994414509.3,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,,,,
22,002630,*ST华西,2026-06-04,1家机构买入，成功率36.29%,1.85,5.1136,-1909849.0,16059265.0,17969114.0,34028379.0,144173468,-1.324688256788,23.602386397475,5.6124,1991596807.75,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,,,,
23,002645,华宏科技,2026-06-04,1家机构买入，成功率41.19%,36.1,9.9939,3957728.84000003,1001631739.52,997674010.68,1999305750.2,6085084888,0.065039829564,32.855839926616,12.9639,20463089049.2,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
24,002645,华宏科技,2026-06-04,买一主买，成功率49.82%,36.1,9.9939,-114999280.24,502168176.86,617167457.1,1119335633.96,2518684230,-4.565847471876,44.4412848831,12.9639,20463089049.2,日振幅值达到15%的前5只证券,,,,
25,002717,*ST岭南,2026-06-04,普通席位买入，成功率44.87%,1.06,4.9505,2320795.5,6549205.5,4228410.0,10777615.5,48183471,4.816580150484,22.367868641095,0.3384,1821667203.96,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,,,,
26,002735,王子新材,2026-06-04,1家机构买入，成功率33.17%,17.12,5.8096,-57390354.09,152317921.69,209708275.78,362026197.47,1273923584,-4.50500758529,28.418203573347,26.5192,4880215917.92,日换手率达到20%的前5只证券,,,,
27,002787,华源控股,2026-06-04,4家机构买入，成功率40.24%,30.42,10.0181,-2632962.18000001,237339050.0,239972012.18,477311062.18,1533755973,-0.171667607256,31.120404456935,21.6354,7546692099.96,日振幅值达到15%的前5只证券,,,,
28,002787,华源控股,2026-06-04,4家机构买入，成功率43.23%,30.42,10.0181,17463867.82,292681652.0,275217784.18,567899436.18,1868609209,0.934591766748,30.391557177646,21.6354,7546692099.96,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
29,002859,洁美科技,2026-06-04,2家机构买入，成功率2.99%,94.39,8.8446,-300685878.35,618391296.07,919077174.42,1537468470.49,8333016645,-3.608367667553,18.450322806118,7.9707,38312844837.95,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
30,002866,传艺科技,2026-06-04,主力做T，成功率35.73%,18.89,-10.0048,3080288.0,31271885.0,28191597.0,59463482.0,387350845,0.795219124925,15.351323681765,11.0249,3423104238.34,日跌幅偏离值达到7%的前5只证券,,,,
31,002875,安奈儿,2026-06-04,3家机构卖出，成功率12.65%,19.63,-9.9954,-20147114.0,32241075.0,52388189.0,84629264.0,243579571,-8.271265901852,34.743990907185,6.6356,3581257488.51,日跌幅偏离值达到7%的前5只证券,,,,
32,002897,意华股份,2026-06-04,3家机构买入，成功率30.91%,96.15,5.4276,-15178376.5,449427450.76,464605827.26,914033278.02,2865083623,-0.529770802435,31.902499134141,17.102,17540184229.95,日振幅值达到15%的前5只证券,,,,
33,002951,金时科技,2026-06-04,1家机构买入，成功率49.39%,24.79,9.9823,34106037.77,91698224.57,57592186.8,149290411.37,684438138,4.983070912685,21.812111728058,7.3266,9943874495.75,日振幅值达到15%的前5只证券,,,,
34,002951,金时科技,2026-06-04,1家机构买入，成功率45.59%,24.79,9.9823,4126645.88000003,176612481.61,172485835.73,349098317.34,2266236418,0.18209247046,15.404320333361,7.3266,9943874495.75,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
35,002980,华盛昌,2026-06-04,5家机构买入，成功率14.95%,127.2,3.9301,-79773381.6,530407310.4,610180692.0,1140588002.4,4865229234,-1.639663369662,23.443664163431,15.3744,12883711996.8,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
36,002995,天地在线,2026-06-04,3家机构卖出，成功率33.00%,23.62,-5.6332,-11046671.96,98044733.04,109091405.0,207136138.04,717726858,-1.539119211838,28.860023242993,26.7201,2655294452.96,日换手率达到20%的前5只证券,,,,
