序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日,source
1,000048,京基智农,2026-06-15,3家机构卖出，成功率34.86%,17.37,-8.1438,-79000105.39,150508537.44,229508642.83,380017180.27,895062015,-8.826215844943,42.457078269599,9.2547,9193988767.5,日跌幅偏离值达到7%的前5只证券,,,,,akshare:stock_lhb_detail_em
2,000048,京基智农,2026-06-15,3家机构卖出，成功率34.86%,17.37,-8.1438,-79000105.39,150508537.44,229508642.83,380017180.27,895062015,-8.826215844943,42.457078269599,9.2547,9193988767.5,日振幅值达到15%的前5只证券,,,,,akshare:stock_lhb_detail_em
3,001257,盛龙股份,2026-06-15,1家机构买入，成功率52.94%,30.51,9.9856,-1562670.40000001,258800669.79,260363340.19,519164009.98,1472260522,-0.106140888562,35.263053122877,35.4709,4178283113.88,日换手率达到20%的前5只证券,,,,,akshare:stock_lhb_detail_em
4,001317,三羊马,2026-06-15,5家机构卖出，成功率10.00%,47.4,-0.6289,-31296520.18,149662782.63,180959302.81,330622085.44,1065287037,-2.937848588502,31.035962511201,6.9596,4051819450.2,连续三个交易日内，跌幅偏离值累计达到20%的证券,,,,,akshare:stock_lhb_detail_em
5,002181,粤传媒,2026-06-15,1家机构卖出，成功率11.58%,12.3,-5.8914,-164217589.38,332372233.16,496589822.54,828962055.7,4351938339,-3.773435572567,19.048111235199,10.2017,13954806379.2,连续三个交易日内，跌幅偏离值累计达到20%的证券,,,,,akshare:stock_lhb_detail_em
6,002354,天娱数科,2026-06-15,3家机构卖出，成功率8.04%,7.5,-0.266,-168463565.77,376558559.32,545022125.09,921580684.41,3570652245,-4.718005400999,25.809869490945,28.9007,12192703342.5,日换手率达到20%的前5只证券,,,,,akshare:stock_lhb_detail_em
7,002361,神剑股份,2026-06-15,西藏自治区资金买入，成功率7.34%,15.93,1.2071,-346000875.25,730123749.52,1076124624.77,1806248374.29,11772255533,-2.939121345779,15.343265096707,21.7366,12887672494.77,连续三个交易日内，跌幅偏离值累计达到20%的证券,,,,,akshare:stock_lhb_detail_em
8,002421,达实智能,2026-06-15,主力做T，成功率30.52%,4.01,-8.8636,29108570.9,305166126.43,276057555.53,581223681.96,2737003825,1.063519555001,21.235764329266,33.7838,8033542515.86,日换手率达到20%的前5只证券,,,,,akshare:stock_lhb_detail_em
9,002421,达实智能,2026-06-15,主力做T，成功率30.52%,4.01,-8.8636,29108570.9,305166126.43,276057555.53,581223681.96,2737003825,1.063519555001,21.235764329266,33.7838,8033542515.86,日跌幅偏离值达到7%的前5只证券,,,,,akshare:stock_lhb_detail_em
10,002428,云南锗业,2026-06-15,3家机构买入，成功率27.14%,101.49,10.0043,540429120.83,4172641262.99,3632212142.16,7804853405.15,32742756270,1.650530323023,23.836885755098,15.0384,66276585581.25,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,,akshare:stock_lhb_detail_em
11,002490,山东墨龙,2026-06-15,3家机构卖出，成功率12.61%,8.22,-7.0136,-86625132.0,53968286.0,140593418.0,194561704.0,688176098,-12.58764032226,28.272081021913,15.4352,4452954840.0,日跌幅偏离值达到7%的前5只证券,,,,,akshare:stock_lhb_detail_em
12,002514,*ST宝馨,2026-06-15,西藏自治区资金卖出，成功率22.60%,3.06,-2.5478,-11444740.69,42688906.26,54133646.95,96822553.21,312646146,-3.660605075874,30.968733966099,8.0834,1695339798.84,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,,,,,akshare:stock_lhb_detail_em
13,002636,金安国纪,2026-06-15,3家机构买入，成功率28.40%,97.34,8.3,154758371.81,3808308870.04,3653550498.23,7461859368.27,21049856879,0.735199164059,35.448504049993,8.5419,70504862690.78,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,,akshare:stock_lhb_detail_em
14,002667,*ST威领,2026-06-15,卖一主卖，成功率31.89%,17.06,-5.0111,-6305720.48,19611670.0,25917390.48,45529060.48,47886586,-13.168030980534,95.076856136706,0.1291,4036583660.0,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,,,,,akshare:stock_lhb_detail_em
15,002842,翔鹭钨业,2026-06-15,4家机构买入，成功率37.86%,43.42,9.3978,71667912.8,500543127.72,428875214.92,929418342.64,4157480220,1.723830517707,22.355328070328,37.1989,11656635627.78,日换手率达到20%的前5只证券,,,,,akshare:stock_lhb_detail_em
16,002856,*ST美芝,2026-06-15,主力做T，成功率21.08%,23.09,-4.9794,-31641329.35,23300952.0,54942281.35,78243233.35,182112416,-17.374614013138,42.964249812599,1.0323,2860953588.87,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,,,,,akshare:stock_lhb_detail_em
17,002962,五方光电,2026-06-15,4家机构买入，成功率50.90%,17.43,0.7514,50451471.62,236119357.8,185667886.18,421787243.98,1656867029,3.044992189292,25.456915769189,20.1176,3646077207.15,连续三个交易日内，跌幅偏离值累计达到20%的证券,,,,,akshare:stock_lhb_detail_em
18,002971,和远气体,2026-06-15,3家机构卖出，成功率28.38%,56.78,-2.1541,-142804884.5,276437231.2,419242115.7,695679346.9,2411831153,-5.921015006476,28.844446512546,28.1433,8880468653.0,日换手率达到20%的前5只证券,,,,,akshare:stock_lhb_detail_em
19,002976,瑞玛精密,2026-06-15,4家机构卖出，成功率26.45%,29.59,-10.0061,-32117640.34,47804168.44,79921808.78,127725977.22,319016659,-10.067700050736,40.037400435568,11.377,2770749514.83,日跌幅偏离值达到7%的前5只证券,,,,,akshare:stock_lhb_detail_em
20,003001,中岩大地,2026-06-15,1家机构卖出，成功率15.34%,14.69,-7.1429,-18234398.53,22559054.6,40793453.13,63352507.73,146460722,-12.450026383183,43.255629813159,8.4725,1680045089.58,日跌幅偏离值达到7%的前5只证券,,,,,akshare:stock_lhb_detail_em
21,118018,瑞科转债,2026-06-15,,242.91,18.4234,7198680.0,1091396190.0,1084197510.0,2175593700.0,4781012070,0.150568120193,45.504877798813,,,"非上市首日,当日收盘价涨幅达15%的前五只可转债",,,,,akshare:stock_lhb_detail_em
22,123270,盛德转债,2026-06-15,,188.76,20.0,4087767.69,167380785.59,163293017.9,330673803.49,625404274,0.653620043857,52.873607878478,,,日涨幅达到15%的前5只可转债,,,,,akshare:stock_lhb_detail_em
23,127096,泰坦转债,2026-06-15,,773.725,18.6695,18466468.3699999,1208903022.01,1190436553.64,2399339575.65,5224019881,0.353491540818,45.928990132226,,,日涨幅达到15%的前5只可转债,,,,,akshare:stock_lhb_detail_em
24,300548,长芯博创,2026-06-15,3家机构买入，成功率46.93%,268.84,20.0018,975787547.58,1583772639.97,607985092.39,2191757732.36,6708117640,14.546369040421,32.673215497753,9.653,73221834491.52,日涨幅达到15%的前5只证券,,,,,akshare:stock_lhb_detail_em
25,300570,太辰光,2026-06-15,3家机构买入，成功率45.27%,222.1,20.0022,475595901.77,990364494.9,514768593.13,1505133088.03,6444531666,7.379836525269,23.355197336849,15.7318,42686020435.8,日涨幅达到15%的前5只证券,,,,,akshare:stock_lhb_detail_em
26,300620,光库科技,2026-06-15,4家机构买入，成功率43.76%,343.05,19.9979,1537055379.98,2399230675.15,862175295.17,3261405970.32,8156536264,18.844462039163,39.985183229242,10.246,84768748643.4,日涨幅达到15%的前5只证券,,,,,akshare:stock_lhb_detail_em
27,300706,阿石创,2026-06-15,4家机构买入,76.1,5.9151,-312916251.2,195032254.0,507948505.2,702980759.2,3016396306,-10.373844132403,23.305318263442,36.5888,8662504778.9,日换手率达到30%的前5只证券,,,,,akshare:stock_lhb_detail_em
28,301217,铜冠铜箔,2026-06-15,4家机构买入，成功率43.76%,170.16,20.0,910858610.9,2247725689.02,1336867078.12,3584592767.14,17184832557,5.300363607727,20.8590497187,4.9806,141065284967.04,连续三个交易日内，涨幅偏离值累计达到30%的证券,,,,,akshare:stock_lhb_detail_em
29,301217,铜冠铜箔,2026-06-15,3家机构买入，成功率42.54%,170.16,20.0,556503358.5,1270595827.85,714092469.35,1984688297.2,6675398132,8.336631725863,29.73138467481,4.9806,141065284967.04,日涨幅达到15%的前5只证券,,,,,akshare:stock_lhb_detail_em
30,301276,嘉曼服饰,2026-06-15,4家机构买入，成功率43.66%,31.2,19.403,36325455.7,139399229.92,103073774.22,242473004.14,474805229,7.650601442723,51.067888331954,15.7873,2254749338.4,连续三个交易日内，涨幅偏离值累计达到30%的证券,,,,,akshare:stock_lhb_detail_em
31,301313,凡拓数创,2026-06-15,5家机构卖出，成功率5.70%,58.36,-1.5852,-181875471.07,117343553.29,299219024.36,416562577.65,1541065456,-11.801930304899,27.030816635864,33.4335,4584383135.4,日换手率达到30%的前5只证券,,,,,akshare:stock_lhb_detail_em
32,301373,凌玮科技,2026-06-15,3家机构买入，成功率45.85%,158.98,20.003,177004426.3,468456308.85,291451882.55,759908191.4,1899064415,9.320612028845,40.014871817816,31.0889,6483696920.04,日换手率达到30%的前5只证券,,,,,akshare:stock_lhb_detail_em
33,301526,国际复材,2026-06-15,4家机构买入，成功率20.64%,34.13,20.007,476845500.38,3461609305.42,2984763805.04,6446373110.46,18046691507,2.642287646991,35.72052588121,13.5605,47931930461.99,连续三个交易日内，涨幅偏离值累计达到30%的证券,,,,,akshare:stock_lhb_detail_em
34,301526,国际复材,2026-06-15,4家机构买入，成功率35.09%,34.13,20.007,268777357.14,1298112313.51,1029334956.37,2327447269.88,6147257522,4.372313282437,37.86155471038,13.5605,47931930461.99,日涨幅达到15%的前5只证券,,,,,akshare:stock_lhb_detail_em
35,301630,同宇新材,2026-06-15,2家机构买入，成功率33.78%,320.66,14.9278,2873329.0,159634967.48,156761638.48,316396605.96,1024425544,0.280481975174,30.88527104904,32.8222,3206600000.0,日换手率达到30%的前5只证券,,,,,akshare:stock_lhb_detail_em
36,600141,兴发集团,2026-06-15,买一主买，成功率44.13%,37.24,9.0483,82039982.8200001,861912492.21,779872509.39,1641785001.6,7175658136,1.143309523184,22.879922238258,6.8925,44752792274.68,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,,akshare:stock_lhb_detail_em
37,600193,退市创兴,2026-06-15,买一主买，成功率59.88%,0.16,0.0,296879.88,1634725.0,1337845.12,2972570.12,5320904,5.57950077656,55.865885195448,7.7714,68059680.0,退市整理的证券,,,,,akshare:stock_lhb_detail_em
38,600301,华锡有色,2026-06-15,3家机构买入，成功率45.49%,67.9,7.7778,-130340329.26,839546737.3,969887066.56,1809433803.86,5337723459,-2.441871150897,33.898979925779,11.5025,18695292739.9,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,,akshare:stock_lhb_detail_em
