序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,tag,source,涨停价,涨速,振幅
1,600026,中远海能,10.0,19.25,330770496,73683448146.0,105315474880.0,0.4489074647426605,135246977.0,092502,092502,0,1/1,1.0,航运港口,涨停,akshare:stock_zt_pool_em,,,
2,601975,招商南油,10.096153259277344,4.58,219170802,21435978625.24,21435978158.08,1.0224436521530151,276120473.0,092502,092502,0,1/1,1.0,航运港口,涨停,akshare:stock_zt_pool_em,,,
3,601872,招商轮船,10.0,17.16,424466512,138559080694.32,138559080591.36002,0.30634334683418274,342964719.0,092503,092503,0,1/1,1.0,航运港口,涨停,akshare:stock_zt_pool_em,,,
4,603335,迪生力,10.062111854553223,8.86,15140579,3793361155.9999995,3793361226.8799996,0.3991336226463318,157642710.0,092504,092504,0,5/3,2.0,汽车零部,涨停,akshare:stock_zt_pool_em,,,
5,603738,泰晶科技,9.992268562316895,56.91,4750247680,21960857169.719997,21960856942.079998,22.48080825805664,24249635.0,092504,141625,27,2/2,2.0,元件,涨停,akshare:stock_zt_pool_em,,,
6,000510,新金路,10.015487670898438,21.31,351026048,12926867453.519999,13820463775.039999,2.715792179107666,156339152.0,093000,093000,0,3/3,3.0,化学原料,涨停,akshare:stock_zt_pool_em,,,
7,002051,中工国际,10.03787899017334,11.62,819138464,14250906568.499998,14251734226.24,5.772602081298828,89769461.0,093030,093554,4,1/1,1.0,专业工程,涨停,akshare:stock_zt_pool_em,,,
8,001257,盛龙股份,9.985580444335938,30.51,1472260528,4178283113.88,56014859396.16,35.47092056274414,87614529.0,093039,100200,4,3/3,3.0,小金属,涨停,akshare:stock_zt_pool_em,,,
9,600375,汉马科技,9.898476600646973,4.33,63696705,6333429340.8,6941298988.8,1.0104973316192627,47155432.0,093049,093049,0,1/1,1.0,商用车,涨停,akshare:stock_zt_pool_em,,,
10,601022,宁波远洋,9.974093437194824,8.49,234030670,11110297005.66,11110296954.720001,2.120375394821167,2977867.0,093101,145625,4,1/1,1.0,航运港口,涨停,akshare:stock_zt_pool_em,,,
11,600353,旭光电子,10.003485679626465,31.56,750288144,26157280178.039997,26157279957.12,2.892652988433838,388429560.0,093109,093139,1,3/2,1.0,其他电子,涨停,akshare:stock_zt_pool_em,,,
12,603007,顺景科技,10.09345817565918,5.89,234335576,4094074380.81,5210565505.44,5.770816802978516,55743119.0,093124,093439,2,1/1,1.0,汽车零部,涨停,akshare:stock_zt_pool_em,,,
13,002432,九安医疗,10.0,66.99,478089680,31168592716.8,31210231557.12,1.5529406070709229,207863471.0,093133,093133,0,1/1,1.0,医疗器械,涨停,akshare:stock_zt_pool_em,,,
14,002585,双星新材,10.017271041870117,12.74,1204423696,11297280791.16,14540450025.92,10.765433311462402,146667976.0,093136,093821,5,8/4,1.0,塑料,涨停,akshare:stock_zt_pool_em,,,
15,002040,南 京 港,10.023866653442383,9.22,66392319,4481615602.900001,4498871266.240001,1.5002074241638184,73715375.0,093142,093142,0,1/1,1.0,航运港口,涨停,akshare:stock_zt_pool_em,,,
16,002440,闰土股份,10.033076286315918,9.98,969253792,9444667091.44,11217519041.92,10.43642807006836,36486381.0,093157,141754,2,1/1,1.0,化学制品,涨停,akshare:stock_zt_pool_em,,,
17,603137,恒尚节能,10.034013748168945,12.94,34931491,2367157341.96,2367157341.96,1.482999324798584,39157734.0,093159,093241,1,1/1,1.0,装修装饰,涨停,akshare:stock_zt_pool_em,,,
18,600110,诺德股份,9.969088554382324,14.23,978672128,24691624662.36,24691624605.440002,4.02850341796875,251054340.0,093202,093202,0,1/1,1.0,电池,涨停,akshare:stock_zt_pool_em,,,
19,002263,大东南,10.079575538635254,4.15,463794640,7795132165.000001,7795194398.400001,6.017047882080078,59976215.0,093206,094242,1,1/1,1.0,塑料,涨停,akshare:stock_zt_pool_em,,,
20,603727,博迈科,9.992862701416016,15.41,33998425,4341294058.57,4341294104.8,0.7935914397239685,47553719.0,093207,093207,0,1/1,1.0,油服工程,涨停,akshare:stock_zt_pool_em,,,
21,601958,金钼股份,9.992162704467773,28.07,6029280768,90570785508.0,90570785508.0,6.694299697875977,137946478.0,093213,130546,19,3/3,3.0,小金属,涨停,akshare:stock_zt_pool_em,,,
22,301176,逸豪新材,20.0,67.92,429694576,11142521055.36,11483008022.64,3.9924163818359375,166668888.0,093218,093248,1,2/2,2.0,元件,涨停,akshare:stock_zt_pool_em,,,
23,002741,光华科技,9.989874839782715,32.59,1079626976,13895014226.850002,15155076887.360003,7.865070819854736,150428791.0,093236,093236,0,1/1,1.0,电子化学,涨停,akshare:stock_zt_pool_em,,,
24,603979,金诚信,10.005653381347656,77.84,1242900912,48555728598.72,48555728910.08,2.573693037033081,2545368.0,093254,145459,13,1/1,1.0,工业金属,涨停,akshare:stock_zt_pool_em,,,
25,605198,安德利,10.0,71.28,471130096,19283806080.0,23820920640.0,2.4676904678344727,44991936.0,093314,100635,9,2/2,2.0,农产品加,涨停,akshare:stock_zt_pool_em,,,
26,000980,众泰汽车,10.138248443603516,2.39,233457441,12051577253.77,12051689031.68,1.979055643081665,60080537.0,093321,093321,0,1/1,1.0,汽车零部,涨停,akshare:stock_zt_pool_em,,,
27,000520,凤凰航运,10.120482444763184,4.57,133195652,4625221389.35,4625221393.92,2.9238662719726562,59356686.0,093348,093348,0,1/1,1.0,航运港口,涨停,akshare:stock_zt_pool_em,,,
28,000545,金浦钛业,10.126582145690918,2.61,74961125,2571902080.56,2575634401.44,2.961672306060791,36559026.0,093539,093539,0,1/1,1.0,化学原料,涨停,akshare:stock_zt_pool_em,,,
29,002137,实益达,10.0,10.12,374391936,4012155779.72,5844349061.759999,9.622766494750977,110858163.0,093615,093615,0,1/1,1.0,光学光电,涨停,akshare:stock_zt_pool_em,,,
30,605303,园林股份,10.0,30.03,137150397,4841959362.24,4841959362.24,2.8676347732543945,35981946.0,093637,093731,1,1/1,1.0,基础建设,涨停,akshare:stock_zt_pool_em,,,
31,002021,中捷资源,9.91735553741455,2.66,42573599,3179864790.06,3179969692.48,1.3758145570755005,43167458.0,093657,093657,0,1/1,1.0,专用设备,涨停,akshare:stock_zt_pool_em,,,
32,300588,熙菱信息,19.9891357421875,22.09,155786015,3905998642.7,4229595052.7,4.119101047515869,53764851.0,093703,093703,0,1/1,1.0,计算机设,涨停,akshare:stock_zt_pool_em,,,
33,002552,宝鼎科技,9.996588706970215,64.48,423948096,23761092074.72,25017293949.440002,1.8126507997512817,43749615.0,093736,094254,2,1/1,1.0,元件,涨停,akshare:stock_zt_pool_em,,,
34,603070,万控智造,10.013717651367188,16.04,58398388,6432040000.0,6432040000.0,0.9279563426971436,68429767.0,093736,093736,0,1/1,1.0,电网设备,涨停,akshare:stock_zt_pool_em,,,
35,601696,中银证券,9.965337753295898,12.69,1654769440,35252820000.0,35252820000.0,4.769163131713867,123075234.0,093808,130108,1,2/2,2.0,证券Ⅱ,涨停,akshare:stock_zt_pool_em,,,
36,603516,淳中科技,10.002696990966797,122.4,542982304,24880037349.600002,24880037349.600002,2.2303519248962402,67537260.0,093832,093947,2,1/1,1.0,计算机设,涨停,akshare:stock_zt_pool_em,,,
37,603093,南华期货,9.98953914642334,21.03,230917972,12829685729.79,15093754562.880001,1.8390308618545532,27322176.0,093840,093840,0,1/1,1.0,多元金融,涨停,akshare:stock_zt_pool_em,,,
38,600237,铜峰电子,9.989701271057129,10.68,494051280,6670896690.599999,6733630636.8,7.5565571784973145,82871588.0,093841,094035,1,1/1,1.0,元件,涨停,akshare:stock_zt_pool_em,,,
39,002806,华锋股份,9.994154930114746,18.82,300807408,3276657699.7000003,3998858336.98,9.339359283447266,78496902.0,093903,093957,1,1/1,1.0,汽车零部,涨停,akshare:stock_zt_pool_em,,,
40,000411,英特集团,10.010537147521973,10.44,112622269,5885403171.84,5897025146.88,1.9484943151474,92752081.0,093906,093906,0,1/1,1.0,医药商业,涨停,akshare:stock_zt_pool_em,,,
41,000733,振华科技,10.008481979370117,51.88,1489587136,28746434644.280003,28750309717.120003,5.280543804168701,134733708.0,093918,093918,0,1/1,1.0,军工电子,涨停,akshare:stock_zt_pool_em,,,
42,603186,华正新材,10.0,187.33,1131380432,29371567736.940002,29371567736.940002,3.9235408306121826,163932483.0,093949,093949,0,6/3,1.0,元件,涨停,akshare:stock_zt_pool_em,,,
43,600545,卓郎智能,9.926470756530762,5.98,441141472,10691715087.560001,10691715099.52,4.203304767608643,70342740.0,093955,094522,1,1/1,1.0,专用设备,涨停,akshare:stock_zt_pool_em,,,
44,603045,福达合金,10.005489349365234,80.15,531577504,10855929173.25,10855929173.25,4.984676837921143,32917765.0,094018,094227,2,1/1,1.0,金属新材,涨停,akshare:stock_zt_pool_em,,,
45,603678,火炬电子,10.008598327636719,63.97,1136395328,30421997385.07,30421996937.28,3.8188188076019287,126657849.0,094045,094045,0,3/2,1.0,军工电子,涨停,akshare:stock_zt_pool_em,,,
46,300726,宏达电子,20.003314971923828,72.41,1798990736,15527486209.429998,29821322814.399998,11.990340232849121,97510636.0,094221,094651,2,1/1,1.0,军工电子,涨停,akshare:stock_zt_pool_em,,,
47,002851,麦格米特,9.997042655944824,148.76,2921247920,68169554280.35999,86546730516.48,4.347500324249268,287238006.0,094227,094506,1,1/1,1.0,其他电源,涨停,akshare:stock_zt_pool_em,,,
48,002815,崇达技术,10.029153823852539,18.87,1227258272,14664669804.18,23288435559.36,8.62526798248291,157840002.0,094309,094309,0,1/1,1.0,元件,涨停,akshare:stock_zt_pool_em,,,
49,601179,中国西电,10.022271156311035,14.82,2757266752,75965576456.64,75965576693.76,3.663661241531372,227114810.0,094321,095245,1,1/1,1.0,电网设备,涨停,akshare:stock_zt_pool_em,,,
50,605288,凯迪股份,10.003135681152344,70.16,105127726,6895217946.32,6941785944.719999,1.5621161460876465,66839186.0,094326,094326,0,1/1,1.0,自动化设,涨停,akshare:stock_zt_pool_em,,,
51,002613,北玻股份,10.11494255065918,4.79,540050848,3705888477.64,5271724015.52,15.01920223236084,80333372.0,094330,094330,0,1/1,1.0,玻璃玻纤,涨停,akshare:stock_zt_pool_em,,,
52,600293,三峡新材,9.970674514770508,3.75,396654944,4350543922.5,4350543900.0,9.362709045410156,44550345.0,094427,095303,1,1/1,1.0,玻璃玻纤,涨停,akshare:stock_zt_pool_em,,,
53,002515,金字火腿,9.960159301757812,8.28,1018523216,9123309090.72,10023885244.8,11.306034088134766,49805549.0,094503,103718,22,1/1,1.0,食品加工,涨停,akshare:stock_zt_pool_em,,,
