metric,value,source,note
涨停数,111,eastmoney:stock_zt_pool_em,
连板家数,20,eastmoney:stock_zt_pool_em,
最高连板,5,eastmoney:stock_zt_pool_em,
涨停封板资金,229.45,eastmoney:stock_zt_pool_em,亿元
炸板数,28,eastmoney:stock_zt_pool_zbgc_em,
跌停数,5,eastmoney:stock_zt_pool_dtgc_em,
炸板率,20.14,derived:eastmoney_limit_pools,%
封板率,79.86,derived:eastmoney_limit_pools,%
涨跌停强弱比,22.2,derived:eastmoney_limit_pools,
大盘主力净流入,-448.95,eastmoney:stock_market_fund_flow,亿元
近N日样本数,5,derived:market_breadth_history,
近几日涨停均值,109.75,derived:market_breadth_history,
近几日炸板率均值,25.88,derived:market_breadth_history,%
近几日跌停均值,5.75,derived:market_breadth_history,
近几日最高连板均值,3.5,derived:market_breadth_history,
近几日涨跌停强弱比均值,39.66,derived:market_breadth_history,
涨停趋势差,0.25,derived:market_breadth_history,
炸板率趋势差,-5.59,derived:market_breadth_history,%
跌停趋势差,-1.75,derived:market_breadth_history,
连板高度趋势差,1.5,derived:market_breadth_history,
涨跌停强弱比趋势差,-12.16,derived:market_breadth_history,
