股票代码,股票简称,涨跌幅,换手率,最新价,前期高点,前期高点日期
000025,特力A,1.79,2.39,15.89,15.87,2026-06-17
000050,深天马A,7.65,6.09,9.99,9.28,2026-06-22
000070,特发信息,10.0,16.05,25.08,22.8,2026-06-22
000545,金浦钛业,6.79,18.45,2.83,2.67,2026-05-25
000571,新大洲A,9.95,10.63,6.41,5.83,2026-06-22
000608,阳光股份,2.36,7.15,7.82,7.64,2026-06-22
000672,上峰材料,7.14,4.87,20.1,19.03,2026-06-17
000686,东北证券,2.51,3.95,8.57,8.36,2026-06-22
000691,亚太实业,9.99,6.86,12.77,12.23,2026-06-18
000728,国元证券,0.54,1.75,7.42,7.38,2026-06-22
000750,国海证券,1.58,2.71,3.85,3.79,2026-06-22
000751,锌业股份,6.35,22.48,6.03,5.67,2026-06-22
000776,广发证券,2.73,5.05,23.32,22.7,2026-06-22
000779,甘咨询,0.52,1.52,7.78,7.75,2026-06-17
000783,长江证券,10.0,5.46,9.46,8.6,2026-06-22
000811,冰轮环境,1.76,10.38,44.97,44.19,2026-06-22
000859,国风新材,6.57,13.1,12.01,11.84,2026-06-17
000915,华特达因,4.46,1.97,28.11,27.8,2026-06-02
000955,欣龙控股,4.34,6.06,5.05,4.97,2026-06-18
000962,东方钽业,5.2,14.64,72.8,69.2,2026-06-22
000987,越秀资本,1.7,2.29,8.37,8.23,2026-06-22
001206,依依股份,10.03,6.25,18.54,17.62,2026-06-16
001216,华瓷股份,1.67,10.87,18.25,17.95,2026-06-22
001267,汇绿生态,8.81,13.04,61.36,60.55,2026-05-28
001282,三联锻造,2.26,6.04,22.63,22.15,2026-06-18
001287,中电港,0.27,6.66,30.1,30.02,2026-06-22
001309,德明利,2.43,10.42,755.01,737.07,2026-06-22
001359,平安电工,5.14,11.88,117.3,111.56,2026-06-22
001390,古麒绒材,0.84,1.74,19.19,19.03,2026-06-22
001965,招商公路,1.59,0.22,10.2,10.19,2026-05-26
002008,大族激光,9.99,12.8,145.11,142.23,2026-05-25
002014,永新股份,9.98,2.6,11.46,11.25,2026-05-25
002056,横店东磁,0.03,6.63,29.25,29.24,2026-06-22
002068,黑猫股份,10.0,15.82,12.65,11.5,2026-06-22
002079,苏州固锝,0.29,7.59,14.02,13.98,2026-06-22
002083,孚日股份,4.05,10.18,11.55,11.1,2026-06-22
002084,海鸥住工,2.26,3.66,3.62,3.55,2026-05-25
002141,贤丰控股,10.0,20.38,4.95,4.71,2026-06-18
002167,东方锆业,9.98,12.93,19.51,17.74,2026-06-22
002174,游族网络,3.16,6.58,12.72,12.33,2026-06-22
002211,ST宏达,4.88,2.32,3.87,3.86,2026-06-15
002289,*ST宇顺,4.99,1.1,46.07,43.88,2026-06-22
002297,博云新材,5.19,38.4,32.82,31.2,2026-06-22
002312,川发龙蟒,3.56,5.76,9.59,9.46,2026-05-26
002326,永太科技,0.76,8.74,25.05,24.86,2026-06-22
002367,康力电梯,0.17,5.25,5.99,5.99,2026-06-01
002371,北方华创,0.33,1.38,747.49,745.0,2026-06-22
002426,胜利精密,1.72,6.86,4.13,4.13,2026-06-18
002428,云南锗业,1.28,19.93,111.9,110.48,2026-06-22
002430,杭氧股份,2.9,4.59,28.4,27.72,2026-06-11
002440,闰土股份,0.09,11.43,11.0,10.99,2026-06-22
002485,ST雪发,0.97,1.29,5.21,5.16,2026-06-22
002500,山西证券,0.75,1.76,5.38,5.34,2026-06-22
002515,金字火腿,1.17,9.67,10.34,10.22,2026-06-22
002522,浙江众成,9.97,9.31,7.61,7.42,2026-06-15
002549,凯美特气,10.02,8.21,18.67,18.15,2026-06-11
002554,惠博普,0.92,2.43,3.29,3.26,2026-06-22
002584,西陇科学,9.99,15.07,10.02,9.11,2026-06-22
002631,德尔未来,10.04,8.61,8.99,8.2,2026-06-17
002648,卫星化学,10.0,0.74,25.18,24.16,2026-06-12
002653,海思科,8.09,1.82,53.21,51.57,2026-05-29
002657,中科金财,4.5,21.27,22.78,21.85,2026-06-15
002668,TCL智家,6.6,3.75,10.5,10.06,2026-06-17
002672,东江环保,10.13,5.3,4.13,3.93,2026-06-01
002674,兴业科技,10.01,0.3,21.66,19.69,2026-06-22
002687,乔治白,10.02,6.45,4.61,4.57,2026-05-25
002718,友邦吊顶,1.76,1.93,117.02,115.0,2026-06-22
002728,特一药业,9.97,3.0,8.82,8.76,2026-05-25
002734,利民股份,0.84,7.34,19.1,18.94,2026-06-22
002747,埃斯顿,2.85,16.95,38.25,37.53,2026-06-09
002768,国恩股份,5.1,7.04,55.65,54.5,2026-06-18
002774,快意电梯,5.23,4.46,13.68,13.0,2026-06-22
002803,吉宏股份,2.84,3.99,23.93,23.9,2026-06-18
002821,凯莱英,2.3,2.82,128.7,125.81,2026-06-22
002828,贝肯能源,1.92,10.54,10.1,9.91,2026-06-22
002830,名雕股份,10.03,17.2,17.77,16.76,2026-06-12
002831,裕同科技,6.46,4.73,35.74,33.57,2026-06-22
002886,沃特股份,0.31,8.06,32.49,32.39,2026-06-22
002888,惠威科技,0.67,6.25,22.63,22.48,2026-06-22
002907,华森制药,2.98,3.95,13.48,13.3,2026-06-18
002926,华西证券,0.84,1.49,8.44,8.37,2026-06-22
002963,豪尔赛,0.28,16.32,21.5,21.44,2026-06-22
002971,和远气体,0.3,17.12,73.0,72.78,2026-06-22
002990,盛视科技,1.66,10.0,60.0,59.39,2026-05-25
300005,探路者,10.82,11.09,19.26,17.6,2026-06-16
300033,同花顺,1.09,9.64,249.4,246.7,2026-06-22
300077,国民技术,15.71,29.12,26.73,26.47,2026-05-25
300109,新开源,0.19,2.48,15.46,15.35,2026-06-18
300145,南方泵业,1.94,14.46,5.79,5.68,2026-06-22
300149,睿智医药,19.95,7.94,9.14,8.86,2026-05-25
300174,元力股份,0.1,11.72,29.08,29.05,2026-06-22
300223,北京君正,0.65,11.58,194.0,192.75,2026-06-22
300239,东宝生物,4.25,5.0,5.64,5.47,2026-06-18
300292,吴通控股,1.7,13.18,6.57,6.47,2026-06-17
300302,同有科技,8.38,26.44,55.9,55.18,2026-06-04
300304,云意电气,2.58,5.77,19.1,18.62,2026-06-22
300319,麦捷科技,1.26,23.91,32.03,31.63,2026-06-22
300346,南大光电,0.89,16.1,71.43,70.8,2026-06-22
300373,扬杰科技,3.79,7.38,132.96,128.11,2026-06-22
300377,赢时胜,0.33,20.88,18.1,18.04,2026-06-22
300401,花园生物,4.93,16.29,20.85,19.87,2026-06-22
300420,五洋自控,5.4,24.06,7.81,7.49,2026-06-18
300429,强力新材,2.19,15.52,16.31,16.16,2026-05-25
300435,中泰股份,0.92,7.7,24.16,23.95,2026-06-18
300440,运达科技,7.03,5.22,20.25,19.78,2026-06-15
300467,迅游科技,1.24,3.92,36.9,36.45,2026-06-22
300485,赛升药业,18.44,10.95,9.7,9.06,2026-06-01
300497,富祥股份,8.23,25.39,22.36,20.66,2026-06-22
300501,海顺新材,1.29,7.55,14.89,14.7,2026-06-22
300505,川金诺,1.67,26.28,24.3,23.9,2026-06-22
300537,广信材料,3.92,28.62,32.31,31.15,2026-05-25
300557,理工光科,0.03,7.9,34.08,34.07,2026-06-22
300592,华凯易佰,7.03,13.95,15.08,14.09,2026-06-22
300604,长川科技,4.06,9.3,279.4,268.49,2026-06-22
300607,拓斯达,1.65,12.55,39.33,38.81,2026-06-18
300613,富瀚微,0.76,5.61,69.14,68.62,2026-06-22
300623,捷捷微电,10.0,11.43,42.25,38.41,2026-06-22
300643,万通智控,1.02,2.93,18.89,18.7,2026-06-22
300655,晶瑞电材,0.53,10.75,17.16,17.07,2026-06-22
300656,民德电子,5.39,8.72,40.27,40.04,2026-06-16
300661,圣邦股份,0.26,2.36,137.16,136.81,2026-06-22
300689,澄天伟业,4.68,4.37,63.8,63.0,2026-06-18
300702,天宇股份,5.08,3.96,21.51,21.38,2026-05-25
300716,*ST泉为,5.36,3.29,22.23,21.53,2026-06-18
300767,震安科技,0.89,11.13,23.74,23.53,2026-06-22
300826,测绘股份,2.17,4.74,15.5,15.17,2026-06-22
300835,龙磁科技,20.0,14.43,234.31,211.0,2026-06-05
300878,维康药业,5.54,4.47,35.6,33.73,2026-06-22
300903,科翔股份,0.12,9.16,110.13,110.0,2026-06-22
300909,汇创达,0.9,4.96,54.63,54.14,2026-06-22
300951,博硕科技,0.24,5.13,58.42,58.28,2026-06-22
300961,深水海纳,19.98,13.79,13.33,13.28,2026-05-25
300966,共同药业,14.39,16.13,31.0,27.42,2026-05-29
300983,尤安设计,0.5,2.61,42.07,41.86,2026-06-22
300990,同飞股份,1.29,11.4,101.5,100.21,2026-06-22
600061,国投资本,0.0,1.23,6.68,6.68,2026-06-22
600172,黄河旋风,9.99,25.56,16.95,15.41,2026-06-22
600176,中国巨石,0.94,5.89,58.93,58.38,2026-06-22
600177,雅戈尔,1.07,0.57,7.58,7.55,2026-06-10
600184,光电股份,3.6,12.71,28.75,28.22,2026-06-18
600206,有研新材,3.4,18.99,48.35,46.76,2026-06-22
600322,津投城开,10.15,11.67,2.93,2.86,2026-06-11
600345,长江通信,2.44,12.81,73.0,71.26,2026-06-22
600353,旭光电子,5.61,18.8,48.8,46.21,2026-06-22
600369,西南证券,1.45,1.74,4.21,4.15,2026-06-22
600397,江钨装备,9.99,17.98,24.44,22.22,2026-06-22
600400,红豆股份,10.13,4.57,3.26,3.11,2026-05-28
600409,三友化工,5.74,4.24,6.82,6.59,2026-05-27
600428,中远海特,2.58,2.49,8.36,8.19,2026-06-15
600460,士兰微,5.0,11.14,47.04,44.8,2026-06-22
600470,六国化工,9.98,19.0,6.5,5.99,2026-06-12
600498,烽火通信,0.23,10.66,82.75,82.56,2026-06-22
600511,国药股份,1.22,0.98,27.43,27.2,2026-06-15
600516,方大炭素,0.64,4.67,6.32,6.28,2026-06-22
600522,中天科技,3.52,9.49,61.73,59.63,2026-06-22
600630,龙头股份,2.3,8.75,9.35,9.14,2026-06-22
